instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,total_count,hours,windspeed_category
192,2011-07-11,fall,2011,juli,no,Selasa,yes,Clear/Partly cloudy,0.7625,0.729804,0.635833,18.916579,723,3363,4086,6,Low
193,2011-07-12,fall,2011,juli,no,Rabu,yes,Clear/Partly cloudy,0.794167,0.739275,0.559167,13.417017999999999,662,3596,4258,7,Low
194,2011-07-13,fall,2011,juli,no,Kamis,yes,Clear/Partly cloudy,0.746667,0.689404,0.631667,9.790911000000001,748,3594,4342,8,Low
195,2011-07-14,fall,2011,juli,no,Jumat,yes,Clear/Partly cloudy,0.680833,0.635104,0.47625,16.124689,888,4196,5084,9,Low
196,2011-07-15,fall,2011,juli,no,Sabtu,yes,Clear/Partly cloudy,0.663333,0.624371,0.59125,12.249811,1318,4220,5538,10,Low
197,2011-07-16,fall,2011,juli,no,Minggu,no,Clear/Partly cloudy,0.686667,0.638263,0.585,13.958914,2418,3505,5923,11,Low
198,2011-07-17,fall,2011,juli,no,Senin,no,Clear/Partly cloudy,0.719167,0.669833,0.604167,16.417211,2006,3296,5302,12,Low
199,2011-07-18,fall,2011,juli,no,Selasa,yes,Clear/Partly cloudy,0.746667,0.703925,0.65125,14.458867999999999,841,3617,4458,13,Low
200,2011-07-19,fall,2011,juli,no,Rabu,yes,Clear/Partly cloudy,0.776667,0.747479,0.650417,8.7502,752,3789,4541,14,Low
201,2011-07-20,fall,2011,juli,no,Kamis,yes,Clear/Partly cloudy,0.768333,0.74685,0.707083,7.625739,644,3688,4332,15,Low
202,2011-07-21,fall,2011,juli,no,Jumat,yes,Misty/Cloudy,0.815,0.826371,0.69125,14.875407,632,3152,3784,16,Low
203,2011-07-22,fall,2011,juli,no,Sabtu,yes,Clear/Partly cloudy,0.848333,0.840896,0.580417,8.9177,562,2825,3387,17,Low
204,2011-07-23,fall,2011,juli,no,Minggu,no,Clear/Partly cloudy,0.849167,0.804287,0.5,8.791807,987,2298,3285,18,Low
205,2011-07-24,fall,2011,juli,no,Senin,no,Clear/Partly cloudy,0.83,0.794829,0.550833,11.334456999999999,1050,2556,3606,19,Low
206,2011-07-25,fall,2011,juli,no,Selasa,yes,Clear/Partly cloudy,0.743333,0.720958,0.757083,6.0841560999999995,568,3272,3840,20,Low
207,2011-07-26,fall,2011,juli,no,Rabu,yes,Clear/Partly cloudy,0.771667,0.696979,0.540833,13.417285999999999,750,3840,4590,21,Low
208,2011-07-27,fall,2011,juli,no,Kamis,yes,Clear/Partly cloudy,0.775,0.690667,0.402917,12.292020999999998,755,3901,4656,22,Low
209,2011-07-28,fall,2011,juli,no,Jumat,yes,Clear/Partly cloudy,0.779167,0.7399,0.583333,11.958093,606,3784,4390,23,Low
210,2011-07-29,fall,2011,juli,no,Sabtu,yes,Clear/Partly cloudy,0.838333,0.785967,0.5425,11.667245999999999,670,3176,3846,0,Low
211,2011-07-30,fall,2011,juli,no,Minggu,no,Clear/Partly cloudy,0.804167,0.728537,0.465833,11.291979,1559,2916,4475,1,Low
212,2011-07-31,fall,2011,juli,no,Senin,no,Clear/Partly cloudy,0.805833,0.729796,0.480833,11.042470999999999,1524,2778,4302,2,Low
213,2011-08-01,fall,2011,agus,no,Selasa,yes,Clear/Partly cloudy,0.771667,0.703292,0.550833,10.500039,729,3537,4266,3,Low
214,2011-08-02,fall,2011,agus,no,Rabu,yes,Clear/Partly cloudy,0.783333,0.707071,0.49125,13.79195,801,4044,4845,4,Low
215,2011-08-03,fall,2011,agus,no,Kamis,yes,Misty/Cloudy,0.731667,0.679937,0.6575,9.084061,467,3107,3574,5,Low
216,2011-08-04,fall,2011,agus,no,Jumat,yes,Misty/Cloudy,0.71,0.664788,0.7575,13.20905,799,3777,4576,6,Low
217,2011-08-05,fall,2011,agus,no,Sabtu,yes,Clear/Partly cloudy,0.710833,0.656567,0.630833,12.374632,1023,3843,4866,7,Low
218,2011-08-06,fall,2011,agus,no,Minggu,no,Misty/Cloudy,0.716667,0.676154,0.755,15.29275,1521,2773,4294,8,Low
219,2011-08-07,fall,2011,agus,no,Senin,no,Clear/Partly cloudy,0.7425,0.715292,0.752917,13.499629,1298,2487,3785,9,Low
220,2011-08-08,fall,2011,agus,no,Selasa,yes,Clear/Partly cloudy,0.765,0.703283,0.592083,12.875725000000001,846,3480,4326,10,Low
221,2011-08-09,fall,2011,agus,no,Rabu,yes,Clear/Partly cloudy,0.775,0.724121,0.570417,10.125107,907,3695,4602,11,Low
222,2011-08-10,fall,2011,agus,no,Kamis,yes,Clear/Partly cloudy,0.766667,0.684983,0.424167,13.417285999999999,884,3896,4780,12,Low
223,2011-08-11,fall,2011,agus,no,Jumat,yes,Clear/Partly cloudy,0.7175,0.651521,0.42375,11.041332,812,3980,4792,13,Low
224,2011-08-12,fall,2011,agus,no,Sabtu,yes,Clear/Partly cloudy,0.708333,0.654042,0.415,8.416607,1051,3854,4905,14,Low
225,2011-08-13,fall,2011,agus,no,Minggu,no,Misty/Cloudy,0.685833,0.645858,0.729583,14.167418,1504,2646,4150,15,Low
226,2011-08-14,fall,2011,agus,no,Senin,no,Misty/Cloudy,0.676667,0.624388,0.8175,14.916411,1338,2482,3820,16,Low
227,2011-08-15,fall,2011,agus,no,Selasa,yes,Clear/Partly cloudy,0.665833,0.616167,0.712083,13.999918,775,3563,4338,17,Low
228,2011-08-16,fall,2011,agus,no,Rabu,yes,Clear/Partly cloudy,0.700833,0.645837,0.578333,15.834043000000001,721,4004,4725,18,Low
229,2011-08-17,fall,2011,agus,no,Kamis,yes,Clear/Partly cloudy,0.723333,0.666671,0.575417,9.625689,668,4026,4694,19,Low
230,2011-08-18,fall,2011,agus,no,Jumat,yes,Clear/Partly cloudy,0.711667,0.662258,0.654583,15.624936,639,3166,3805,20,Low
231,2011-08-19,fall,2011,agus,no,Sabtu,yes,Misty/Cloudy,0.685,0.633221,0.722917,9.333635999999998,797,3356,4153,21,Low
232,2011-08-20,fall,2011,agus,no,Minggu,no,Clear/Partly cloudy,0.6975,0.648996,0.674167,6.999289,1914,3277,5191,22,Low
233,2011-08-21,fall,2011,agus,no,Senin,no,Clear/Partly cloudy,0.710833,0.675525,0.77,16.666518,1249,2624,3873,23,Low
234,2011-08-22,fall,2011,agus,no,Selasa,yes,Clear/Partly cloudy,0.691667,0.638254,0.47,18.54225,833,3925,4758,0,Low
235,2011-08-23,fall,2011,agus,no,Rabu,yes,Clear/Partly cloudy,0.640833,0.606067,0.455417,9.833121,1281,4614,5895,1,Low
236,2011-08-24,fall,2011,agus,no,Kamis,yes,Clear/Partly cloudy,0.673333,0.630692,0.605,16.958236,949,4181,5130,2,Low
237,2011-08-25,fall,2011,agus,no,Jumat,yes,Misty/Cloudy,0.684167,0.645854,0.771667,14.125810999999999,435,3107,3542,5,Low
238,2011-08-26,fall,2011,agus,no,Sabtu,yes,Clear/Partly cloudy,0.7,0.659733,0.76125,5.625487499999999,768,3893,4661,6,Low
239,2011-08-27,fall,2011,agus,no,Minggu,no,Misty/Cloudy,0.68,0.635556,0.85,25.166338999999997,226,889,1115,7,Medium
240,2011-08-28,fall,2011,agus,no,Senin,no,Clear/Partly cloudy,0.707059,0.647959,0.561765,20.412153,1415,2919,4334,8,Low
241,2011-08-29,fall,2011,agus,no,Selasa,yes,Clear/Partly cloudy,0.636667,0.607958,0.554583,10.708275,729,3905,4634,9,Low
242,2011-08-30,fall,2011,agus,no,Rabu,yes,Clear/Partly cloudy,0.639167,0.594704,0.548333,8.375536,775,4429,5204,10,Low
243,2011-08-31,fall,2011,agus,no,Kamis,yes,Clear/Partly cloudy,0.656667,0.611121,0.597917,5.5833311,688,4370,5058,11,Low
244,2011-09-01,fall,2011,sept,no,Jumat,yes,Clear/Partly cloudy,0.655,0.614921,0.639167,9.500332,783,4332,5115,12,Low
245,2011-09-02,fall,2011,sept,no,Sabtu,yes,Misty/Cloudy,0.643333,0.604808,0.727083,9.375243,875,3852,4727,13,Low
246,2011-09-03,fall,2011,sept,no,Minggu,no,Clear/Partly cloudy,0.669167,0.633213,0.716667,12.416775,1935,2549,4484,14,Low
247,2011-09-04,fall,2011,sept,no,Senin,no,Clear/Partly cloudy,0.709167,0.665429,0.742083,13.833289,2521,2419,4940,15,Low
248,2011-09-05,fall,2011,sept,yes,Selasa,no,Misty/Cloudy,0.673333,0.625646,0.790417,14.250632,1236,2115,3351,16,Low
249,2011-09-06,fall,2011,sept,no,Rabu,yes,Light/Rain,0.54,0.5152,0.886957,23.044181,204,2506,2710,17,Medium
250,2011-09-07,fall,2011,sept,no,Kamis,yes,Light/Rain,0.599167,0.544229,0.917083,6.500393600000001,118,1878,1996,18,Low
251,2011-09-08,fall,2011,sept,no,Jumat,yes,Light/Rain,0.633913,0.555361,0.939565,12.914116,153,1689,1842,19,Low
252,2011-09-09,fall,2011,sept,no,Sabtu,yes,Misty/Cloudy,0.65,0.578946,0.897917,8.333393000000001,417,3127,3544,20,Low
253,2011-09-10,fall,2011,sept,no,Minggu,no,Clear/Partly cloudy,0.66,0.607962,0.75375,10.291736,1750,3595,5345,21,Low
254,2011-09-11,fall,2011,sept,no,Senin,no,Clear/Partly cloudy,0.653333,0.609229,0.71375,7.708618,1633,3413,5046,22,Low
255,2011-09-12,fall,2011,sept,no,Selasa,yes,Clear/Partly cloudy,0.644348,0.60213,0.692174,5.957171000000001,690,4023,4713,23,Low
256,2011-09-13,fall,2011,sept,no,Rabu,yes,Clear/Partly cloudy,0.650833,0.603554,0.7125,9.500868,701,4062,4763,0,Low
257,2011-09-14,fall,2011,sept,no,Kamis,yes,Clear/Partly cloudy,0.673333,0.6269,0.697083,11.2091,647,4138,4785,1,Low
258,2011-09-15,fall,2011,sept,no,Jumat,yes,Misty/Cloudy,0.5775,0.553671,0.709167,18.166782,428,3231,3659,2,Low
259,2011-09-16,fall,2011,sept,no,Sabtu,yes,Misty/Cloudy,0.469167,0.461475,0.590417,11.000261,742,4018,4760,5,Low
260,2011-09-17,fall,2011,sept,no,Minggu,no,Misty/Cloudy,0.491667,0.478512,0.718333,12.708225,1434,3077,4511,6,Low
261,2011-09-18,fall,2011,sept,no,Senin,no,Clear/Partly cloudy,0.5075,0.490537,0.695,11.958361,1353,2921,4274,7,Low
262,2011-09-19,fall,2011,sept,no,Selasa,yes,Misty/Cloudy,0.549167,0.529675,0.69,10.166713999999999,691,3848,4539,8,Low
263,2011-09-20,fall,2011,sept,no,Rabu,yes,Misty/Cloudy,0.561667,0.532217,0.88125,9.041917999999999,438,3203,3641,9,Low
264,2011-09-21,fall,2011,sept,no,Kamis,yes,Misty/Cloudy,0.595,0.550533,0.9,6.4590814,539,3813,4352,10,Low
265,2011-09-22,fall,2011,sept,no,Jumat,yes,Misty/Cloudy,0.628333,0.554963,0.902083,8.584375,555,4240,4795,11,Low
266,2011-09-23,winter,2011,sept,no,Sabtu,yes,Misty/Cloudy,0.609167,0.522125,0.9725,5.2505689,258,2137,2395,12,Low
267,2011-09-24,winter,2011,sept,no,Minggu,no,Misty/Cloudy,0.606667,0.564412,0.8625,5.2516811,1776,3647,5423,13,Low
268,2011-09-25,winter,2011,sept,no,Senin,no,Misty/Cloudy,0.634167,0.572637,0.845,3.3754064,1544,3466,5010,14,Low
269,2011-09-26,winter,2011,sept,no,Selasa,yes,Misty/Cloudy,0.649167,0.589042,0.848333,7.4169,684,3946,4630,15,Low
270,2011-09-27,winter,2011,sept,no,Rabu,yes,Misty/Cloudy,0.636667,0.574525,0.885417,7.917457,477,3643,4120,16,Low
271,2011-09-28,winter,2011,sept,no,Kamis,yes,Misty/Cloudy,0.635,0.575158,0.84875,9.958143000000002,480,3427,3907,17,Low
272,2011-09-29,winter,2011,sept,no,Jumat,yes,Clear/Partly cloudy,0.616667,0.574512,0.699167,11.583161,653,4186,4839,18,Low
273,2011-09-30,winter,2011,sept,no,Sabtu,yes,Clear/Partly cloudy,0.564167,0.544829,0.6475,13.833825,830,4372,5202,19,Low
274,2011-10-01,winter,2011,okt,no,Minggu,no,Misty/Cloudy,0.41,0.412863,0.75375,19.583832,480,1949,2429,20,Low
275,2011-10-02,winter,2011,okt,no,Senin,no,Misty/Cloudy,0.356667,0.345317,0.791667,14.874870999999999,616,2302,2918,21,Low
276,2011-10-03,winter,2011,okt,no,Selasa,yes,Misty/Cloudy,0.384167,0.392046,0.760833,5.5841686,330,3240,3570,22,Low
277,2011-10-04,winter,2011,okt,no,Rabu,yes,Clear/Partly cloudy,0.484167,0.472858,0.71,13.792218,486,3970,4456,23,Low
278,2011-10-05,winter,2011,okt,no,Kamis,yes,Clear/Partly cloudy,0.538333,0.527138,0.647917,11.87575,559,4267,4826,0,Low
279,2011-10-06,winter,2011,okt,no,Jumat,yes,Clear/Partly cloudy,0.494167,0.480425,0.620833,9.041917999999999,639,4126,4765,1,Low
280,2011-10-07,winter,2011,okt,no,Sabtu,yes,Clear/Partly cloudy,0.510833,0.504404,0.684167,1.5002439,949,4036,4985,2,Low
281,2011-10-08,winter,2011,okt,no,Minggu,no,Clear/Partly cloudy,0.521667,0.513242,0.70125,3.0420814,2235,3174,5409,3,Low
282,2011-10-09,winter,2011,okt,no,Senin,no,Clear/Partly cloudy,0.540833,0.523983,0.7275,4.251150000000001,2397,3114,5511,4,Low
283,2011-10-10,winter,2011,okt,yes,Selasa,no,Clear/Partly cloudy,0.570833,0.542925,0.73375,2.8343814,1514,3603,5117,5,Low
284,2011-10-11,winter,2011,okt,no,Rabu,yes,Misty/Cloudy,0.566667,0.546096,0.80875,9.583814,667,3896,4563,6,Low
285,2011-10-12,winter,2011,okt,no,Kamis,yes,Light/Rain,0.543333,0.517717,0.90625,16.62605,217,2199,2416,7,Low
286,2011-10-13,winter,2011,okt,no,Jumat,yes,Misty/Cloudy,0.589167,0.551804,0.896667,9.499729,290,2623,2913,8,Low
287,2011-10-14,winter,2011,okt,no,Sabtu,yes,Misty/Cloudy,0.550833,0.529675,0.71625,15.000161,529,3115,3644,9,Low
288,2011-10-15,winter,2011,okt,no,Minggu,no,Clear/Partly cloudy,0.506667,0.498725,0.483333,17.291561,1899,3318,5217,10,Low
289,2011-10-16,winter,2011,okt,no,Senin,no,Clear/Partly cloudy,0.511667,0.503154,0.486667,18.875039,1748,3293,5041,11,Low
290,2011-10-17,winter,2011,okt,no,Selasa,yes,Clear/Partly cloudy,0.534167,0.510725,0.579583,11.750393,713,3857,4570,12,Low
291,2011-10-18,winter,2011,okt,no,Rabu,yes,Misty/Cloudy,0.5325,0.522721,0.701667,7.375829,637,4111,4748,13,Low
292,2011-10-19,winter,2011,okt,no,Kamis,yes,Light/Rain,0.541739,0.513848,0.895217,16.303713,254,2170,2424,14,Low
293,2011-10-20,winter,2011,okt,no,Jumat,yes,Clear/Partly cloudy,0.475833,0.466525,0.63625,28.292425,471,3724,4195,15,Medium
294,2011-10-21,winter,2011,okt,no,Sabtu,yes,Clear/Partly cloudy,0.4275,0.423596,0.574167,14.833532,676,3628,4304,16,Low
295,2011-10-22,winter,2011,okt,no,Minggu,no,Clear/Partly cloudy,0.4225,0.425492,0.629167,6.2086689,1499,2809,4308,17,Low
296,2011-10-23,winter,2011,okt,no,Senin,no,Clear/Partly cloudy,0.421667,0.422333,0.74125,6.6673375,1619,2762,4381,18,Low
297,2011-10-24,winter,2011,okt,no,Selasa,yes,Clear/Partly cloudy,0.463333,0.457067,0.772083,7.959064,699,3488,4187,19,Low
298,2011-10-25,winter,2011,okt,no,Rabu,yes,Clear/Partly cloudy,0.471667,0.463375,0.622917,11.166086,695,3992,4687,20,Low
299,2011-10-26,winter,2011,okt,no,Kamis,yes,Misty/Cloudy,0.484167,0.472846,0.720417,9.959014,404,3490,3894,21,Low
300,2011-10-27,winter,2011,okt,no,Jumat,yes,Misty/Cloudy,0.47,0.457046,0.812917,13.250121,240,2419,2659,22,Low
301,2011-10-28,winter,2011,okt,no,Sabtu,yes,Misty/Cloudy,0.330833,0.318812,0.585833,15.375093,456,3291,3747,23,Low
302,2011-10-29,winter,2011,okt,no,Minggu,no,Light/Rain,0.254167,0.227913,0.8825,23.541857,57,570,627,0,Medium
303,2011-10-30,winter,2011,okt,no,Senin,no,Clear/Partly cloudy,0.319167,0.321329,0.62375,11.833339,885,2446,3331,1,Low
304,2011-10-31,winter,2011,okt,no,Selasa,yes,Clear/Partly cloudy,0.34,0.356063,0.703333,7.12545,362,3307,3669,2,Low
305,2011-11-01,winter,2011,novem,no,Rabu,yes,Clear/Partly cloudy,0.400833,0.397088,0.68375,9.083257,410,3658,4068,3,Low
306,2011-11-02,winter,2011,novem,no,Kamis,yes,Clear/Partly cloudy,0.3775,0.390133,0.71875,5.5001439,370,3816,4186,5,Low
307,2011-11-03,winter,2011,novem,no,Jumat,yes,Clear/Partly cloudy,0.408333,0.405921,0.702083,9.166739,318,3656,3974,6,Low
308,2011-11-04,winter,2011,novem,no,Sabtu,yes,Misty/Cloudy,0.403333,0.403392,0.6225,18.209193,470,3576,4046,7,Low
309,2011-11-05,winter,2011,novem,no,Minggu,no,Clear/Partly cloudy,0.326667,0.323854,0.519167,12.667154,1156,2770,3926,8,Low
310,2011-11-06,winter,2011,novem,no,Senin,no,Clear/Partly cloudy,0.348333,0.362358,0.734583,6.1676314,952,2697,3649,9,Low
311,2011-11-07,winter,2011,novem,no,Selasa,yes,Clear/Partly cloudy,0.395,0.400871,0.75875,3.834075,373,3662,4035,10,Low
312,2011-11-08,winter,2011,novem,no,Rabu,yes,Clear/Partly cloudy,0.408333,0.412246,0.721667,4.6255125,376,3829,4205,11,Low
313,2011-11-09,winter,2011,novem,no,Kamis,yes,Clear/Partly cloudy,0.4,0.409079,0.758333,4.1671186,305,3804,4109,12,Low
314,2011-11-10,winter,2011,novem,no,Jumat,yes,Misty/Cloudy,0.38,0.373721,0.813333,12.667489000000002,190,2743,2933,13,Low
315,2011-11-11,winter,2011,novem,yes,Sabtu,no,Clear/Partly cloudy,0.324167,0.306817,0.44625,21.083225,440,2928,3368,14,Low
316,2011-11-12,winter,2011,novem,no,Minggu,no,Clear/Partly cloudy,0.356667,0.357942,0.552917,14.208154,1275,2792,4067,15,Low
317,2011-11-13,winter,2011,novem,no,Senin,no,Clear/Partly cloudy,0.440833,0.43055,0.458333,18.875307,1004,2713,3717,16,Low
318,2011-11-14,winter,2011,novem,no,Selasa,yes,Clear/Partly cloudy,0.53,0.524612,0.587083,20.541932,595,3891,4486,17,Low
319,2011-11-15,winter,2011,novem,no,Rabu,yes,Misty/Cloudy,0.53,0.507579,0.68875,13.375411,449,3746,4195,18,Low
320,2011-11-16,winter,2011,novem,no,Kamis,yes,Light/Rain,0.456667,0.451988,0.93,9.167543,145,1672,1817,19,Low
321,2011-11-17,winter,2011,novem,no,Jumat,yes,Misty/Cloudy,0.341667,0.323221,0.575833,20.459254,139,2914,3053,20,Low
322,2011-11-18,winter,2011,novem,no,Sabtu,yes,Clear/Partly cloudy,0.274167,0.272721,0.41,11.291711,245,3147,3392,21,Low
323,2011-11-19,winter,2011,novem,no,Minggu,no,Clear/Partly cloudy,0.329167,0.324483,0.502083,15.041232,943,2720,3663,22,Low
324,2011-11-20,winter,2011,novem,no,Senin,no,Misty/Cloudy,0.463333,0.457058,0.684583,12.45865,787,2733,3520,23,Low
325,2011-11-21,winter,2011,novem,no,Selasa,yes,Light/Rain,0.4475,0.445062,0.91,9.249618,220,2545,2765,0,Low
326,2011-11-22,winter,2011,novem,no,Rabu,yes,Light/Rain,0.416667,0.421696,0.9625,7.959064,69,1538,1607,1,Low
327,2011-11-23,winter,2011,novem,no,Kamis,yes,Misty/Cloudy,0.440833,0.430537,0.757917,22.500275,112,2454,2566,2,Medium
328,2011-11-24,winter,2011,novem,yes,Jumat,no,Clear/Partly cloudy,0.373333,0.372471,0.549167,11.209368000000001,560,935,1495,3,Low
329,2011-11-25,winter,2011,novem,no,Sabtu,yes,Clear/Partly cloudy,0.375,0.380671,0.64375,6.6260186,1095,1697,2792,4,Low
330,2011-11-26,winter,2011,novem,no,Minggu,no,Clear/Partly cloudy,0.375833,0.385087,0.681667,4.5841936,1249,1819,3068,5,Low
331,2011-11-27,winter,2011,novem,no,Senin,no,Clear/Partly cloudy,0.459167,0.4558,0.698333,13.999918,810,2261,3071,6,Low
332,2011-11-28,winter,2011,novem,no,Selasa,yes,Clear/Partly cloudy,0.503478,0.490122,0.743043,9.522174,253,3614,3867,7,Low
333,2011-11-29,winter,2011,novem,no,Rabu,yes,Misty/Cloudy,0.458333,0.451375,0.830833,17.292164,96,2818,2914,8,Low
334,2011-11-30,winter,2011,novem,no,Kamis,yes,Clear/Partly cloudy,0.325,0.311221,0.613333,18.167586,188,3425,3613,9,Low
335,2011-12-01,winter,2011,desem,no,Jumat,yes,Clear/Partly cloudy,0.3125,0.305554,0.524583,14.750586,182,3545,3727,10,Low
336,2011-12-02,winter,2011,desem,no,Sabtu,yes,Clear/Partly cloudy,0.314167,0.331433,0.625833,6.750518,268,3672,3940,11,Low
337,2011-12-03,winter,2011,desem,no,Minggu,no,Clear/Partly cloudy,0.299167,0.310604,0.612917,6.4174811,706,2908,3614,12,Low
338,2011-12-04,winter,2011,desem,no,Senin,no,Clear/Partly cloudy,0.330833,0.3491,0.775833,5.6252061,634,2851,3485,13,Low
339,2011-12-05,winter,2011,desem,no,Selasa,yes,Misty/Cloudy,0.385833,0.393925,0.827083,4.1679561000000005,233,3578,3811,14,Low
340,2011-12-06,winter,2011,desem,no,Rabu,yes,Light/Rain,0.4625,0.4564,0.949583,15.583061,126,2468,2594,15,Low
341,2011-12-07,winter,2011,desem,no,Kamis,yes,Light/Rain,0.41,0.400246,0.970417,17.833725,50,655,705,16,Low
342,2011-12-08,winter,2011,desem,no,Jumat,yes,Clear/Partly cloudy,0.265833,0.256938,0.58,16.083886,150,3172,3322,17,Low
343,2011-12-09,winter,2011,desem,no,Sabtu,yes,Clear/Partly cloudy,0.290833,0.317542,0.695833,5.5420189,261,3359,3620,18,Low
344,2011-12-10,winter,2011,desem,no,Minggu,no,Clear/Partly cloudy,0.275,0.266412,0.5075,15.625807,502,2688,3190,19,Low
345,2011-12-11,winter,2011,desem,no,Senin,no,Clear/Partly cloudy,0.220833,0.253154,0.49,4.458293899999999,377,2366,2743,20,Low
346,2011-12-12,winter,2011,desem,no,Selasa,yes,Clear/Partly cloudy,0.238333,0.270196,0.670833,4.251150000000001,143,3167,3310,21,Low
347,2011-12-13,winter,2011,desem,no,Rabu,yes,Clear/Partly cloudy,0.2825,0.301138,0.59,9.41685,155,3368,3523,22,Low
348,2011-12-14,winter,2011,desem,no,Kamis,yes,Misty/Cloudy,0.3175,0.338362,0.66375,4.0842061,178,3562,3740,23,Low
349,2011-12-15,winter,2011,desem,no,Jumat,yes,Misty/Cloudy,0.4225,0.412237,0.634167,17.958814,181,3528,3709,0,Low
350,2011-12-16,winter,2011,desem,no,Sabtu,yes,Misty/Cloudy,0.375,0.359825,0.500417,17.458525,178,3399,3577,1,Low
351,2011-12-17,winter,2011,desem,no,Minggu,no,Misty/Cloudy,0.258333,0.249371,0.560833,16.292189,275,2464,2739,2,Low
352,2011-12-18,winter,2011,desem,no,Senin,no,Clear/Partly cloudy,0.238333,0.245579,0.58625,11.375193000000001,220,2211,2431,3,Low
353,2011-12-19,winter,2011,desem,no,Selasa,yes,Clear/Partly cloudy,0.276667,0.280933,0.6375,11.584031999999999,260,3143,3403,4,Low
354,2011-12-20,winter,2011,desem,no,Rabu,yes,Misty/Cloudy,0.385833,0.396454,0.595417,4.1252436,216,3534,3750,5,Low
355,2011-12-21,springer,2011,desem,no,Kamis,yes,Misty/Cloudy,0.428333,0.428017,0.858333,14.8338,107,2553,2660,6,Low
356,2011-12-22,springer,2011,desem,no,Jumat,yes,Misty/Cloudy,0.423333,0.426121,0.7575,3.1674249999999997,227,2841,3068,7,Low
357,2011-12-23,springer,2011,desem,no,Sabtu,yes,Clear/Partly cloudy,0.373333,0.377513,0.68625,18.374482,163,2046,2209,8,Low
358,2011-12-24,springer,2011,desem,no,Minggu,no,Clear/Partly cloudy,0.3025,0.299242,0.5425,12.750368,155,856,1011,9,Low
359,2011-12-25,springer,2011,desem,no,Senin,no,Clear/Partly cloudy,0.274783,0.279961,0.681304,10.391097,303,451,754,10,Low
360,2011-12-26,springer,2011,desem,yes,Selasa,no,Clear/Partly cloudy,0.321739,0.315535,0.506957,16.044155,430,887,1317,11,Low
361,2011-12-27,springer,2011,desem,no,Rabu,yes,Misty/Cloudy,0.325,0.327633,0.7625,12.62615,103,1059,1162,12,Low
362,2011-12-28,springer,2011,desem,no,Kamis,yes,Clear/Partly cloudy,0.29913,0.279974,0.503913,19.695386999999997,255,2047,2302,13,Low
363,2011-12-29,springer,2011,desem,no,Jumat,yes,Clear/Partly cloudy,0.248333,0.263892,0.574167,8.000604000000001,254,2169,2423,14,Low
364,2011-12-30,springer,2011,desem,no,Sabtu,yes,Clear/Partly cloudy,0.311667,0.318812,0.636667,9.000579,491,2508,2999,15,Low
365,2011-12-31,springer,2011,desem,no,Minggu,no,Clear/Partly cloudy,0.41,0.414121,0.615833,14.750318,665,1820,2485,16,Low
366,2012-01-01,springer,2012,jan,no,Senin,no,Clear/Partly cloudy,0.37,0.375621,0.6925,12.875189,686,1608,2294,17,Low
367,2012-01-02,springer,2012,jan,yes,Selasa,no,Clear/Partly cloudy,0.273043,0.252304,0.381304,22.087555,244,1707,1951,18,Low
368,2012-01-03,springer,2012,jan,no,Rabu,yes,Clear/Partly cloudy,0.15,0.126275,0.44125,24.499957000000002,89,2147,2236,19,Medium
369,2012-01-04,springer,2012,jan,no,Kamis,yes,Misty/Cloudy,0.1075,0.119337,0.414583,12.3749,95,2273,2368,20,Low
370,2012-01-05,springer,2012,jan,no,Jumat,yes,Clear/Partly cloudy,0.265833,0.278412,0.524167,8.709128999999999,140,3132,3272,21,Low
371,2012-01-06,springer,2012,jan,no,Sabtu,yes,Clear/Partly cloudy,0.334167,0.340267,0.542083,11.249836,307,3791,4098,22,Low
372,2012-01-07,springer,2012,jan,no,Minggu,no,Clear/Partly cloudy,0.393333,0.390779,0.531667,11.708786,1070,3451,4521,23,Low
373,2012-01-08,springer,2012,jan,no,Senin,no,Clear/Partly cloudy,0.3375,0.340258,0.465,12.833314,599,2826,3425,0,Low
374,2012-01-09,springer,2012,jan,no,Selasa,yes,Misty/Cloudy,0.224167,0.247479,0.701667,6.6263000000000005,106,2270,2376,1,Low
375,2012-01-10,springer,2012,jan,no,Rabu,yes,Clear/Partly cloudy,0.308696,0.318826,0.646522,12.565984,173,3425,3598,2,Low
376,2012-01-11,springer,2012,jan,no,Kamis,yes,Misty/Cloudy,0.274167,0.282821,0.8475,8.791807,92,2085,2177,3,Low
377,2012-01-12,springer,2012,jan,no,Jumat,yes,Misty/Cloudy,0.3825,0.381938,0.802917,12.124789,269,3828,4097,4,Low
378,2012-01-13,springer,2012,jan,no,Sabtu,yes,Clear/Partly cloudy,0.274167,0.249362,0.5075,25.333236,174,3040,3214,5,Medium
379,2012-01-14,springer,2012,jan,no,Minggu,no,Clear/Partly cloudy,0.18,0.183087,0.4575,12.541260999999999,333,2160,2493,6,Low
380,2012-01-15,springer,2012,jan,no,Senin,no,Clear/Partly cloudy,0.166667,0.161625,0.419167,16.834286,284,2027,2311,7,Low
381,2012-01-16,springer,2012,jan,yes,Selasa,no,Clear/Partly cloudy,0.19,0.190663,0.5225,15.500986000000001,217,2081,2298,8,Low
382,2012-01-17,springer,2012,jan,no,Rabu,yes,Misty/Cloudy,0.373043,0.364278,0.716087,23.39171,127,2808,2935,9,Medium
383,2012-01-18,springer,2012,jan,no,Kamis,yes,Clear/Partly cloudy,0.303333,0.275254,0.443333,27.833743,109,3267,3376,10,Medium
